ID,Nome,Dependencias,Ator_Principal,Fase,Status_Inicial,Evidencia_Obrigatoria,Status_Atual,Evidencia_Real,Bloqueio_Externo
RF001,Manter Designer,RF002,Administrador,4,PENDENTE,CRUD + inativacao/exclusao segura,IMPLEMENTADO_TESTES_UNITARIOS,Codigo+testes unitarios (Fase 4) sem CRITICAL/HIGH; criacao via convite real bloqueada por rate limit de e-mail do Supabase Free; designers de teste criados via bootstrap administrativo (bypass do convite) so para viabilizar os demais testes da Fase 15; edicao/inativacao/exclusao nao exercitadas ao vivo,RATE_LIMIT_EMAIL_SUPABASE
RF002,Autenticar Usuario,Nenhuma,Administrador/Designer,3,PENDENTE,Login perfis + recuperacao senha,IMPLEMENTADO_E2E_REAL,Login admin e designer + GET /api/auth/me validados contra Supabase Auth real; negativos validados ao vivo (sem token 401; token invalido 401; perfil errado 403); recuperacao de senha por e-mail nao exercitada ao vivo nesta sessao (mesmo mecanismo do Supabase Auth ja validado no login),
RF003,Manter Cliente,RF002,Designer,5,PENDENTE,CRUD + busca/filtro + ownership,IMPLEMENTADO_E2E_PARCIAL,Criacao validada ao vivo (Fase 15); edicao/exclusao/listagem-filtro cobertas so por testes unitarios/integracao (mocks) nesta sessao,
RF004,Registrar Respostas do Cliente,RF003,Cliente/Designer/Servico,6,PENDENTE,Webhook + questionario + historico,BLOQUEADO_EXTERNO_META,Codigo+testes unitarios completos (Fase 6/15) sem CRITICAL/HIGH; inclui os 3 itens da auditoria comparativa RF004 (template Meta para mensagem business-initiated RN08; log tecnico de mensagens de saida; download+validacao+upload de imagem de referencia via Media API) implementados e cobertos por teste (270 testes backend); validacao ao vivo depende de template aprovado e envio real via WhatsApp Cloud API - aguardando autorizacao/ambiente do usuario para exercitar Meta,BLOQUEIO_META_WHATSAPP
RF005,Manter Solicitacao de Arte,RF003+RF004,Designer,7,PENDENTE,Criacao/listagem/detalhes/filtros,IMPLEMENTADO_E2E_REAL,Listagem/detalhe/historico validados ao vivo contra Supabase real (Fase 15) com multiplas solicitacoes de teste,
RF006,Bloquear Designer por Atraso,RF005,Servico Automatico,7,PENDENTE,Regra 5 dias + bloqueio/desbloqueio,IMPLEMENTADO_E2E_REAL,Logica de bloqueio/desbloqueio (sync_designer_bloqueio) validada ao vivo via chamada direta da RPC com prazo genuinamente vencido; gatilho real de producao (iniciarAtendimento) depende de WhatsApp,BLOQUEIO_META_WHATSAPP (so o gatilho real)
RF007,Realizar Upload da Arte,RF005,Designer,8,PENDENTE,PDF/JPG/PNG + Storage + status,IMPLEMENTADO_E2E_REAL,Upload real validado (Storage + RPC); rejeicao de status invalido validada; rejeicao de arquivo com assinatura de bytes falsa (executavel disfarcado de PDF) validada; concorrencia (upload duplo simultaneo) validada sem duplicar versao,
RF008,Controlar Versoes de Arte,RF005+RF007,Designer,8,PENDENTE,V1/V2 sequencial + historico,IMPLEMENTADO_E2E_REAL,V1/V2 sequenciais confirmados ao vivo; download com URL assinada confirmado; isolamento entre designers confirmado (404 ao tentar baixar versao de outro designer),
RF009,Receber Avaliacao da Arte,RF008,Cliente,9,PENDENTE,Aprovar/Ajustes/Cancelar via link seguro,IMPLEMENTADO_E2E_REAL,As 3 decisoes (Aprovar/Ajustes/Cancelar) validadas ao vivo via token real; link invalido/ja utilizado validados; double-submit do mesmo token sob concorrencia validado (so uma decisao persiste),
RF010,Registrar Ajustes do Cliente,RF009,Cliente,9,PENDENTE,Descricao obrigatoria + ref opcional,IMPLEMENTADO_E2E_REAL,Decisao Ajustes com descricao obrigatoria validada ao vivo; nova versao apos ajuste confirmada,
RF011,Atualizar Status Automaticamente,RF004+RF005+RF007+RF009+RF010+RF012+RF014,Servico Automatico,10,PENDENTE,Testes completos da maquina de estados,IMPLEMENTADO_E2E_REAL,Cadeia completa de transicoes validada ao vivo (Em producao - Enviado para avaliacao - Ajustes - Enviado para avaliacao - Aprovado - Agendado - Aprovado (cancelamento) - Agendado - Publicado) com historico auditado a cada passo; transicao inicial via atendimento WhatsApp simulada por seed direto (nao pelo fluxo real); transicao automatica de sucesso via Instagram nao exercitada,BLOQUEIO_META_WHATSAPP_E_INSTAGRAM (2 de 8 arestas)
RF012,Manter Agendamento de Publicacao,RF009,Designer,11,PENDENTE,Somente aprovado + data/hora/legenda,IMPLEMENTADO_E2E_REAL,Criacao e edicao (PATCH) validadas ao vivo; concorrencia (agendamento duplo simultaneo) validada - so um agendamento ativo criado,
RF013,Cancelar Agendamento,RF012,Designer,11,PENDENTE,Permitido >=3h; negado <3h,IMPLEMENTADO_E2E_REAL,Cancelamento permitido com >=3h de antecedencia e corretamente rejeitado com <3h validados ao vivo (RN31),
RF014,Realizar Publicacao da Arte,RF012,Designer/Servico,12,PENDENTE,Instagram oficial + fallback manual + log,IMPLEMENTADO_E2E_PARCIAL,Caminho manual validado ao vivo incluindo concorrencia/idempotencia (publicacao dupla simultanea - so um registro de sucesso); caminho automatico via Instagram API oficial nao exercitado - aguardando autorizacao do usuario,BLOQUEIO_META_INSTAGRAM (so o caminho automatico)
RF015,Gerenciar Designers,RF002,Administrador,4,PENDENTE,Funcoes administrativas rastreadas separadamente,IMPLEMENTADO_TESTES_UNITARIOS,Mesma base de codigo/testes unitarios de RF001 (Fase 4); nao exercitado separadamente ao vivo nesta sessao,
RF016,Reatribuir Solicitacoes de Arte,RF015+RF005,Administrador,4,PENDENTE,Preservacao integral de historico,IMPLEMENTADO_E2E_REAL,Reatribuicao pelo admin validada ao vivo; historico e versoes preservados integralmente; isolamento confirmado antes (designer2 nao via) e depois (designer1 perde acesso) da reatribuicao,
